[2025-10-17 01:18:47,335: INFO: common: created directory at: artifacts]
[2025-10-17 01:18:47,336: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-17 01:18:47,340: INFO: 1434958058: File already exists of size: ~ 7718 KB]
[2025-10-17 01:39:29,265: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-10-17 01:39:29,269: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 01:39:29,269: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 01:39:29,269: INFO: common: created directory at: artifacts]
[2025-10-17 01:39:29,269: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-17 01:39:29,269: INFO: data_ingestion: File already exists of size: ~ 7718 KB]
[2025-10-17 01:39:29,412: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
[2025-10-17 01:59:18,328: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 01:59:18,334: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 01:59:18,337: INFO: common: created directory at: artifacts]
[2025-10-17 01:59:18,342: INFO: common: created directory at: artifacts/data_validation]
[2025-10-17 01:59:18,349: INFO: 4237940335: Data Validation completed successfully.]
[2025-10-17 02:08:47,789: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-10-17 02:08:47,792: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:08:47,793: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:08:47,793: INFO: common: created directory at: artifacts]
[2025-10-17 02:08:47,794: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-17 02:08:47,795: INFO: data_ingestion: File already exists of size: ~ 7718 KB]
[2025-10-17 02:08:47,909: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
[2025-10-17 02:08:47,910: INFO: main: >>>>>> stage Data Validation Stage started <<<<<<]
[2025-10-17 02:08:47,912: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:08:47,914: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:08:47,915: INFO: common: created directory at: artifacts]
[2025-10-17 02:08:47,916: ERROR: main: 'ConfigurationManager' object has no attribute 'get_data_validation_config']
Traceback (most recent call last):
  File "main.py", line 19, in <module>
    data_validation.main()
  File "b:\natural language processing\textsummarizerproject\src\textSummarizer\pipeline\stage_02_data_validation.py", line 10, in main
    data_validation_config = config.get_data_validation_config()
AttributeError: 'ConfigurationManager' object has no attribute 'get_data_validation_config'
[2025-10-17 02:11:30,077: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-10-17 02:11:30,080: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:11:30,080: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:11:30,082: INFO: common: created directory at: artifacts]
[2025-10-17 02:11:30,082: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-17 02:11:30,082: INFO: data_ingestion: File already exists of size: ~ 7718 KB]
[2025-10-17 02:11:30,221: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
[2025-10-17 02:11:30,222: INFO: main: >>>>>> stage Data Validation Stage started <<<<<<]
[2025-10-17 02:11:30,223: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:11:30,224: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:11:30,224: INFO: common: created directory at: artifacts]
[2025-10-17 02:11:30,225: INFO: common: created directory at: artifacts/data_validation]
[2025-10-17 02:11:30,225: INFO: stage_02_data_validation: Data Validation completed successfully.]
[2025-10-17 02:11:30,227: INFO: main: >>>>>> stage Data Validation Stage completed <<<<<<

x==========x]
[2025-10-17 02:28:00,982: INFO: config: PyTorch version 2.4.1 available.]
[2025-10-17 02:28:00,990: INFO: config: TensorFlow version 2.13.0 available.]
[2025-10-17 02:32:05,605: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:32:05,608: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:32:05,610: INFO: common: created directory at: artifacts]
[2025-10-17 02:32:05,615: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-17 02:33:54,925: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:33:54,927: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:33:54,929: INFO: common: created directory at: artifacts]
[2025-10-17 02:33:54,931: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-17 02:35:10,352: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:35:10,354: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:35:10,355: INFO: common: created directory at: artifacts]
[2025-10-17 02:35:10,356: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-17 02:37:28,545: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:37:28,547: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:37:28,549: INFO: common: created directory at: artifacts]
[2025-10-17 02:37:28,551: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-17 02:39:16,759: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:39:16,761: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:39:16,762: INFO: common: created directory at: artifacts]
[2025-10-17 02:39:16,764: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-17 02:41:42,857: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:41:42,859: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:41:42,860: INFO: common: created directory at: artifacts]
[2025-10-17 02:41:42,862: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-17 02:43:06,396: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:43:06,397: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:43:06,399: INFO: common: created directory at: artifacts]
[2025-10-17 02:43:06,400: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-17 02:45:15,043: INFO: config: PyTorch version 2.4.1 available.]
[2025-10-17 02:45:15,051: INFO: config: TensorFlow version 2.13.0 available.]
[2025-10-17 02:45:16,083: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:45:16,090: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:45:16,095: INFO: common: created directory at: artifacts]
[2025-10-17 02:45:16,096: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-17 02:48:41,375: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:48:41,377: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:48:41,378: INFO: common: created directory at: artifacts]
[2025-10-17 02:48:41,379: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-17 02:49:24,321: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 02:49:24,322: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 02:49:24,323: INFO: common: created directory at: artifacts]
[2025-10-17 02:49:24,324: INFO: common: created directory at: artifacts/data_transformation]
[2025-10-17 03:17:43,053: INFO: config: PyTorch version 2.4.1 available.]
[2025-10-17 03:17:43,060: INFO: config: TensorFlow version 2.13.0 available.]
[2025-10-17 03:18:36,425: INFO: config: PyTorch version 2.4.1 available.]
[2025-10-17 03:18:36,426: INFO: config: TensorFlow version 2.13.0 available.]
[2025-10-17 03:18:37,224: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-10-17 03:18:37,224: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-17 03:18:37,235: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-17 03:18:37,235: INFO: common: created directory at: artifacts]
[2025-10-17 03:18:37,235: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-17 03:18:37,235: INFO: data_ingestion: File already exists of size: ~ 7718 KB]
[2025-10-17 03:18:37,377: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
[2025-10-17 03:18:37,377: INFO: main: >>>>>> stage Data Validation Stage started <<<<<<]
